,Unnamed: 0,index,CF,file,channel,genotype
0,0,0,50000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,1,WT
1,1,7,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,2,WT
2,2,14,50000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,3,WT
3,3,21,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,4,WT
4,4,28,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,5,WT
5,5,35,50000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,6,WT
6,6,42,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,7,WT
7,7,49,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,8,WT
8,8,56,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,9,WT
9,9,63,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,10,WT
10,10,70,50000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,11,WT
11,11,77,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,12,WT
12,12,84,35000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,13,WT
13,13,91,45000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,14,WT
14,14,98,35000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,15,WT
15,15,105,45000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,16,WT
16,16,112,2000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,1,WT
17,17,119,8000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,2,WT
18,18,126,2000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,3,WT
19,19,133,45000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,4,WT
20,20,140,12000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,5,WT
21,21,147,2000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,6,WT
22,22,154,8000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,7,WT
23,23,182,6000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,11,WT
24,24,189,35000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,12,WT
25,25,196,35000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,13,WT
26,26,203,6000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,14,WT
27,27,210,8000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,15,WT
28,28,217,12000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,16,WT
29,29,224,20000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,1,WT
30,30,231,24000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,2,WT
31,31,245,20000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,4,WT
32,32,252,12000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,5,WT
33,33,266,24000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,7,WT
34,34,273,20000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,8,WT
35,35,280,20000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,9,WT
36,36,287,16000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,10,WT
37,37,301,12000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,12,WT
38,38,308,20000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,13,WT
39,39,322,16000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,15,WT
40,40,329,24000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,16,WT
41,41,336,2000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,1,WT
42,42,343,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,2,WT
43,43,350,2000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,3,WT
44,44,357,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,4,WT
45,45,364,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,5,WT
46,46,371,1500,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,6,WT
47,47,378,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,7,WT
48,48,399,6000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,10,WT
49,49,406,2000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,11,WT
50,50,413,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,12,WT
51,51,420,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,13,WT
52,52,427,3000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,14,WT
53,53,434,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,15,WT
54,54,441,4000,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,16,WT
55,55,448,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,1,WT
56,56,455,2000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,2,WT
57,57,462,2000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,3,WT
58,58,469,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,4,WT
59,59,476,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,5,WT
60,60,483,1500,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,6,WT
61,61,518,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,11,WT
62,62,525,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,12,WT
63,63,539,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,14,WT
64,64,546,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,15,WT
65,65,553,6000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,16,WT
66,66,560,45000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,1,WT
67,67,567,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,2,WT
68,68,574,45000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,3,WT
69,69,588,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,5,WT
70,70,595,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,6,WT
71,71,630,35000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,11,WT
72,72,651,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,14,WT
