,index,threshold,file,channel,genotype
0,0,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,1,WT
1,7,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,2,WT
2,14,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,3,WT
3,21,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,4,WT
4,28,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,5,WT
5,35,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,6,WT
6,42,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,7,WT
7,49,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,8,WT
8,56,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,9,WT
9,63,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,10,WT
10,70,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,11,WT
11,77,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,12,WT
12,84,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,13,WT
13,91,40,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,14,WT
14,98,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,15,WT
15,105,40,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,16,WT
16,112,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,1,WT
17,119,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,2,WT
18,126,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,3,WT
19,133,40,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,4,WT
20,140,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,5,WT
21,147,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,6,WT
22,154,50,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,7,WT
23,182,20,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,11,WT
24,189,40,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,12,WT
25,196,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,13,WT
26,203,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,14,WT
27,210,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,15,WT
28,217,20,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,16,WT
29,224,30,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,1,WT
30,231,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,2,WT
31,245,30,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,4,WT
32,252,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,5,WT
33,266,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,7,WT
