,Unnamed: 0,index,threshold,file,channel,genotype
0,0,0,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,1,WT
1,1,7,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,2,WT
2,2,14,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,3,WT
3,3,21,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,4,WT
4,4,28,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,5,WT
5,5,35,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,6,WT
6,6,42,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,7,WT
7,7,49,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,8,WT
8,8,56,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,9,WT
9,9,63,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,10,WT
10,10,70,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,11,WT
11,11,77,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,12,WT
12,12,84,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,13,WT
13,13,91,40,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,14,WT
14,14,98,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,15,WT
15,15,105,40,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,16,WT
16,16,112,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,1,WT
17,17,119,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,2,WT
18,18,126,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,3,WT
19,19,133,40,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,4,WT
20,20,140,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,5,WT
21,21,147,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,6,WT
22,22,154,50,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,7,WT
23,23,182,20,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,11,WT
24,24,189,40,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,12,WT
25,25,196,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,13,WT
26,26,203,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,14,WT
27,27,210,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,15,WT
28,28,217,20,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,16,WT
29,29,224,30,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,1,WT
30,30,231,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,2,WT
31,31,245,30,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,4,WT
