,index,CF,file,channel,genotype
0,0,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,17,WT
1,7,16000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,18,WT
2,14,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,19,WT
3,21,24000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,20,WT
4,28,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,21,WT
5,35,50000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,22,WT
6,42,16000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,23,WT
7,49,35000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,24,WT
8,56,35000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,25,WT
9,63,4000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,26,WT
10,70,35000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,27,WT
11,84,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,29,WT
12,91,20000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,30,WT
13,105,20000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,32,WT
14,112,16000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,17,WT
15,119,16000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,18,WT
16,126,50000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,19,WT
17,147,24000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,22,WT
18,189,16000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,28,WT
19,196,6000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,29,WT
20,203,35000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,30,WT
21,210,20000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,31,WT
22,217,16000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,32,WT
23,224,16000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,17,WT
24,231,16000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,18,WT
25,238,50000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,19,WT
26,245,35000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,20,WT
27,252,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,21,WT
28,266,4000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,23,WT
29,273,30000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,24,WT
30,287,30000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,26,WT
31,301,4000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,28,WT
32,308,6000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,29,WT
33,315,16000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,30,WT
34,322,20000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,31,WT
35,329,16000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,32,WT
36,336,35000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,17,KO
37,343,30000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,18,KO
38,357,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,20,KO
39,364,24000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,21,KO
40,378,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,23,KO
