,index,threshold,file,channel,genotype
0,0,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,17,WT
1,7,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,18,WT
2,14,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,19,WT
3,21,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,20,WT
4,28,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,21,WT
5,35,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,22,WT
6,42,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,23,WT
7,49,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,24,WT
8,56,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,25,WT
9,63,40,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,26,WT
10,70,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,27,WT
11,84,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,29,WT
12,91,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,30,WT
13,105,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,32,WT
14,112,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,17,WT
15,119,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,18,WT
16,126,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,19,WT
17,147,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,22,WT
18,189,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,28,WT
19,196,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,29,WT
20,203,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,30,WT
21,210,10,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,31,WT
22,217,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,32,WT
23,224,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,17,WT
24,231,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,18,WT
25,238,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,19,WT
26,245,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,20,WT
27,252,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,21,WT
28,266,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,23,WT
29,273,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,24,WT
30,287,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,26,WT
31,301,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,28,WT
32,308,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,29,WT
33,315,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,30,WT
34,322,10,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,31,WT
35,329,10,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,32,WT
36,336,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,17,KO
37,343,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,18,KO
38,357,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,20,KO
39,364,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,21,KO
40,378,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,23,KO
41,385,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,24,KO
42,392,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,25,KO
43,399,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,26,KO
44,406,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,27,KO
45,413,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,28,KO
46,420,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,29,KO
47,427,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,30,KO
48,434,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,31,KO
49,441,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,32,KO
50,448,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,17,KO
51,455,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,18,KO
52,462,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,19,KO
53,469,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,20,KO
54,476,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,21,KO
55,483,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,22,KO
56,490,10,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,23,KO
57,497,10,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,24,KO
58,504,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,25,KO
59,511,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,26,KO
60,525,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,28,KO
61,532,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,29,KO
62,539,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,30,KO
63,546,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,31,KO
64,553,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,32,KO
65,560,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,17,KO
66,567,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,18,KO
