,Unnamed: 0,index,threshold,file,channel,genotype
0,0,0,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,17,WT
1,1,7,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,18,WT
2,2,14,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,19,WT
3,3,21,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,20,WT
4,4,28,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,21,WT
5,5,35,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,22,WT
6,6,42,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,23,WT
7,7,49,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,24,WT
8,8,56,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,25,WT
9,9,63,40,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,26,WT
10,10,70,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,27,WT
11,11,84,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,29,WT
12,12,91,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,30,WT
13,13,105,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,32,WT
14,14,112,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,17,WT
15,15,119,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,18,WT
16,16,126,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,19,WT
17,17,147,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,22,WT
18,18,189,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,28,WT
19,19,196,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,29,WT
20,20,203,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,30,WT
21,21,210,10,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,31,WT
22,22,217,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,32,WT
23,23,224,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,17,WT
24,24,231,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,18,WT
25,25,238,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,19,WT
26,26,245,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,20,WT
27,27,252,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,21,WT
28,28,266,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,23,WT
29,29,273,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,24,WT
30,30,287,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,26,WT
31,31,301,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,28,WT
32,32,308,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,29,WT
33,33,315,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,30,WT
34,34,322,10,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,31,WT
35,35,329,10,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,32,WT
36,36,336,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,17,KO
37,37,343,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,18,KO
38,38,357,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,20,KO
39,39,364,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,21,KO
40,40,378,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,23,KO
41,41,385,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,24,KO
42,42,392,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,25,KO
43,43,399,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,26,KO
44,44,406,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,27,KO
45,45,413,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,28,KO
46,46,420,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,29,KO
47,47,427,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,30,KO
48,48,434,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,31,KO
49,49,441,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,32,KO
50,50,448,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,17,KO
51,51,455,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,18,KO
52,52,462,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,19,KO
53,53,469,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,20,KO
54,54,476,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,21,KO
55,55,483,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,22,KO
56,56,490,10,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,23,KO
57,57,497,10,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,24,KO
58,58,504,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,25,KO
59,59,511,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,26,KO
60,60,525,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,28,KO
61,61,532,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,29,KO
62,62,539,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,30,KO
63,63,546,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,31,KO
64,64,553,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,32,KO
65,65,560,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,17,KO
66,66,567,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,18,KO
67,67,574,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,19,KO
68,68,588,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,21,KO
69,69,623,50,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,26,KO
70,70,630,50,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,27,KO
71,71,637,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,28,KO
72,72,644,50,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,29,KO
73,73,651,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,30,KO
74,74,658,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,31,KO
75,75,665,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,32,KO
76,76,672,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,17,KO
77,77,679,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,18,KO
78,78,686,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,19,KO
79,79,693,10,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,20,KO
80,80,700,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,21,KO
81,81,707,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,22,KO
82,82,714,10,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,23,KO
83,83,721,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,24,KO
84,84,728,10,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,25,KO
85,85,735,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,26,KO
86,86,742,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,27,KO
87,87,749,10,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,28,KO
88,88,756,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,29,KO
89,89,763,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,30,KO
90,90,770,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,31,KO
91,91,777,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,32,KO
92,92,784,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,17,WT
93,93,791,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,18,WT
94,94,798,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,19,WT
95,95,805,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,20,WT
96,96,812,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,21,WT
97,97,819,40,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,22,WT
98,98,840,40,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,25,WT
99,99,847,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,26,WT
